CASE_NO,STARTED,CLOSED,CaseType,CaseSubType,SITE_ADDR,SITE_CITY,SITE_STATE,SITE_ZIP,Case_Count,Case_Completion
CE05-0003,1/3/2005 12:00:00 AM,1/27/2005 12:00:00 AM,CODE ENFORCEMENT,BLDGCODE,1510 PAMELA ST     ,,,,1,1
CE13-0057,1/29/2013 12:00:00 AM,12/23/2013 12:00:00 AM,CODE ENFORCEMENT,,2598 BULRUSH CI     ,,,,1,1
CE16-1627,12/19/2016 12:00:00 AM,,CODE ENFORCEMENT,,2598 BULRUSH CIRCLE,CORONA,CA,92882,1,0
CE15-1255,12/10/2015 12:00:00 AM,12/9/2015 12:00:00 AM,CODE ENFORCEMENT,,2598 BULRUSH CI ,,,,1,1
CE01-0993,9/18/2001 12:00:00 AM,11/30/2001 12:00:00 AM,CODE ENFORCEMENT,PROP,1074 HUSHABYE LN,,,,1,1
CE04-1099,8/24/2004 12:00:00 AM,9/3/2004 12:00:00 AM,CODE ENFORCEMENT,PROP,1027 NORMANDY TERRACE,,,,1,1
CE09-0454,4/20/2009 12:00:00 AM,9/21/2009 12:00:00 AM,CODE ENFORCEMENT,USE,1468 CRESTA RD     ,,,,1,1
CE06-1289,12/17/2006 12:00:00 AM,1/5/2007 12:00:00 AM,CODE ENFORCEMENT,PROP,2891 SAMPSON AV     ,,,,1,1
CE07-1237,7/25/2007 12:00:00 AM,11/15/2007 12:00:00 AM,CODE ENFORCEMENT,PROP,697 HUNTLEY DR     ,,,,1,1
CE05-0476,5/17/2005 12:00:00 AM,6/2/2005 12:00:00 AM,CODE ENFORCEMENT,BLDGCODE,1751 GLEASON ST     ,,,,1,1
CE08-0280,3/5/2008 12:00:00 AM,3/6/2008 12:00:00 AM,CODE ENFORCEMENT,PROP,1617 FAIRVIEW DR     ,,,,1,1
CE07-1213,7/24/2007 12:00:00 AM,9/4/2007 12:00:00 AM,CODE ENFORCEMENT,USE,1617 FAIRVIEW DR     ,,,,1,1
CE13-0993,9/17/2013 12:00:00 AM,2/20/2014 12:00:00 AM,CODE ENFORCEMENT,,1617 FAIRVIEW DR ,,,,1,1
CE14-0461,5/22/2014 12:00:00 AM,7/29/2014 12:00:00 AM,CODE ENFORCEMENT,,1617 FAIRVIEW DR ,,,,1,1
CE18-0841,6/12/2018 12:00:00 AM,2/2/2021 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1617 FAIRVIEW DR,CORONA,CA,92880,1,1
CE20-0826,8/5/2020 12:00:00 AM,8/5/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1751 GLEASON ST,CORONA,CA,92882,1,1
CE07-1371,8/14/2007 12:00:00 AM,8/23/2007 12:00:00 AM,CODE ENFORCEMENT,PROP,1805 NOAH DR     ,,,,1,1
CE12-0072,1/30/2012 12:00:00 AM,,CODE ENFORCEMENT,,598 EATON ST     ,,,,1,0
CE19-1270,10/9/2019 12:00:00 AM,1/9/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,598 EATON ST,CORONA,CA,92879,1,1
CE09-1530,11/25/2009 12:00:00 AM,1/10/2010 12:00:00 AM,CODE ENFORCEMENT,PROP,2201 MCNEIL CI     ,,,,1,1
CE10-0135,1/30/2010 12:00:00 AM,4/15/2010 12:00:00 AM,CODE ENFORCEMENT,USE,2201 MCNEIL CI     ,,,,1,1
CC24-0085,1/17/2024 12:00:00 AM,3/22/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,925 W ONTARIO AVE,CORONA,CA,92882,1,1
CE05-0908,9/29/2005 12:00:00 AM,10/11/2005 12:00:00 AM,CODE ENFORCEMENT,PROP,925 W ONTARIO AV     ,,,,1,1
CE20-1040,9/16/2020 12:00:00 AM,7/6/2021 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,3600 SANTA CLARA CIR,CORONA,CA,92882,1,1
CE01-0015,1/10/2001 12:00:00 AM,9/13/2002 12:00:00 AM,CODE ENFORCEMENT,BLDGCODE,1817 COOK CI,,,,1,1
CC24-1354,9/4/2024 12:00:00 AM,9/15/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,3015 BRIARHAVEN LN,CORONA,CA,92882,1,1
CE03-0241,3/18/2003 12:00:00 AM,7/1/2003 12:00:00 AM,CODE ENFORCEMENT,DEVEL,2712 TOUMEY LN,,,,1,1
CE02-1120,9/19/2002 12:00:00 AM,10/10/2002 12:00:00 AM,CODE ENFORCEMENT,PROP,1329 SONNET HILL LN,,,,1,1
CE03-1091,10/15/2003 12:00:00 AM,10/2/2003 12:00:00 AM,CODE ENFORCEMENT,SIGN,3855 BEDFORD CANYON RD,,,,1,1
CE04-0123,,2/20/2004 12:00:00 AM,CODE ENFORCEMENT,PROP,1817 COOK CI     ,,,,1,1
CE12-0401,4/18/2012 12:00:00 AM,5/22/2012 12:00:00 AM,CODE ENFORCEMENT,,1817 COOK CI     ,,,,1,1
CE13-0687,7/8/2013 12:00:00 AM,8/26/2013 12:00:00 AM,CODE ENFORCEMENT,,1817 COOK CI ,,,,1,1
CE20-1312,11/18/2020 12:00:00 AM,1/15/2021 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1817 COOK CIR,CORONA,CA,92882,1,1
CE2017-0194,8/28/2017 12:00:00 AM,9/16/2017 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1817 COOK CI,CORONA,CA,92882,1,1
CE21-0106,2/10/2021 12:00:00 AM,3/10/2021 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1817 COOK CIR,CORONA,CA,92882,1,1
CE07-1052,7/3/2007 12:00:00 AM,8/7/2007 12:00:00 AM,CODE ENFORCEMENT,PROP,2712 TOUMEY LN     ,,,,1,1
CE08-0968,7/15/2008 12:00:00 AM,12/4/2008 12:00:00 AM,CODE ENFORCEMENT,PROP,855 SHEPARD CREST DR     ,,,,1,1
CE10-1200,11/15/2010 12:00:00 AM,1/19/2011 12:00:00 AM,CODE ENFORCEMENT,PROP,1817 COOK CI     ,,,,1,1
CE09-0592,5/14/2009 12:00:00 AM,7/17/2009 12:00:00 AM,CODE ENFORCEMENT,MULTI,855 SHEPARD CREST DR     ,,,,1,1
CE10-0501,4/21/2010 12:00:00 AM,6/1/2010 12:00:00 AM,CODE ENFORCEMENT,PROP,2712 TOUMEY LN     ,,,,1,1
CE10-0941,8/23/2010 12:00:00 AM,9/16/2010 12:00:00 AM,CODE ENFORCEMENT,PROP,2712 TOUMEY LN     ,,,,1,1
CC25-1828,11/21/2025 12:00:00 AM,,CODE ENFORCEMENT,BUILDING CODE VIOLATIONS,880 PAPAYA ST,CORONA,CA,92879,1,0
CC25-1684,10/23/2025 12:00:00 AM,11/2/2025 12:00:00 AM,CODE ENFORCEMENT,PROPERTY MAINTENANCE,1955 ADOBE AVE,CORONA,CA,92882,1,1
CE01-1228,11/2/2001 12:00:00 AM,11/14/2001 12:00:00 AM,CODE ENFORCEMENT,PROP,1320 E SIXTH ST,,,,1,1
CE01-1327,11/20/2001 12:00:00 AM,11/28/2001 12:00:00 AM,CODE ENFORCEMENT,BLDGCODE,303 W GRAND BL,,,,1,1
CE03-0271,3/24/2003 12:00:00 AM,4/16/2003 12:00:00 AM,CODE ENFORCEMENT,USE,1320 E SIXTH ST,,,,1,1
CE03-0447,5/13/2003 12:00:00 AM,5/14/2003 12:00:00 AM,CODE ENFORCEMENT,PROP,945 W OLIVE ST,,,,1,1
CE01-0372,5/17/2001 12:00:00 AM,7/12/2001 12:00:00 AM,CODE ENFORCEMENT,PROP,303 W GRAND BL,,,,1,1
CE22-1798,12/19/2022 12:00:00 AM,3/14/2025 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,303 W GRAND BLVD,CORONA,CA,92882,1,1
CE22-1087,7/19/2022 12:00:00 AM,8/18/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1320 E SIXTH ST,CORONA,CA,92879,1,1
CE2017-0490,11/16/2017 12:00:00 AM,4/8/2019 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,303 W GRAND BL,CORONA,CA,92882,1,1
CE16-0169,2/8/2016 12:00:00 AM,3/11/2016 12:00:00 AM,CODE ENFORCEMENT,,303 W GRAND BL ,,,,1,1
CE16-0319,3/23/2016 12:00:00 AM,5/23/2016 12:00:00 AM,CODE ENFORCEMENT,,303 W GRAND BL ,,,,1,1
CE17-0132,2/13/2017 12:00:00 AM,2/13/2017 12:00:00 AM,CODE ENFORCEMENT,,303 W GRAND BL ,,,,1,1
CE17-0828,6/20/2017 12:00:00 AM,8/15/2017 12:00:00 AM,CODE ENFORCEMENT,,1955 ADOBE AV ,,,,1,1
CE19-0134,2/5/2019 12:00:00 AM,7/1/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1320 E SIXTH ST,CORONA,CA,92879,1,1
CE20-0719,7/23/2020 12:00:00 AM,7/30/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,303 W GRAND BLVD,CORONA,CA,92882,1,1
CE10-1036,9/21/2010 12:00:00 AM,9/21/2010 12:00:00 AM,CODE ENFORCEMENT,USE,303 W GRAND BL     ,,,,1,1
CE11-1172,11/17/2011 12:00:00 AM,12/5/2011 12:00:00 AM,CODE ENFORCEMENT,USE,1955 ADOBE AV     ,,,,1,1
CE11-0825,8/11/2011 12:00:00 AM,8/11/2011 12:00:00 AM,CODE ENFORCEMENT,USE,303 W GRAND BL     ,,,,1,1
CE15-0037,1/6/2015 12:00:00 AM,2/1/2016 12:00:00 AM,CODE ENFORCEMENT,,303 W GRAND BL ,,,,1,1
CE14-0712,7/11/2014 12:00:00 AM,7/25/2014 12:00:00 AM,CODE ENFORCEMENT,,303 W GRAND BL ,,,,1,1
CE16-0104,1/29/2016 12:00:00 AM,3/14/2016 12:00:00 AM,CODE ENFORCEMENT,,1955 ADOBE AV ,,,,1,1
CE02-0743,7/1/2002 12:00:00 AM,7/8/2002 12:00:00 AM,CODE ENFORCEMENT,MULTI,1320 E SIXTH ST,,,,1,1
CE12-0424,4/26/2012 12:00:00 AM,6/11/2012 12:00:00 AM,CODE ENFORCEMENT,,2279 SAGELEAF CI     ,,,,1,1
CE19-1386,11/12/2019 12:00:00 AM,10/28/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,0 0,CORONA,CA,0,1,1
CE21-0212,3/15/2021 12:00:00 AM,3/26/2021 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,BEHIND 4648 TEMESCAL CANYON RD,CORONA,CA,0,1,1
CE22-1320,8/31/2022 12:00:00 AM,10/21/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,0 0,CORONA,CA,0,1,1
CC24-0864,6/15/2024 12:00:00 AM,6/30/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,285 E RANCHO RD,CORONA,CA,92879,1,1
CE05-0812,9/7/2005 12:00:00 AM,9/8/2005 12:00:00 AM,CODE ENFORCEMENT,PROP,1661 TAYLOR AV     ,,,,1,1
CE07-1336,8/9/2007 12:00:00 AM,10/18/2007 12:00:00 AM,CODE ENFORCEMENT,PROP,1661 TAYLOR AV     ,,,,1,1
CE08-0849,6/11/2008 12:00:00 AM,7/9/2008 12:00:00 AM,CODE ENFORCEMENT,PROP,1661 TAYLOR AV     ,,,,1,1
CE11-0767,8/1/2011 12:00:00 AM,8/11/2011 12:00:00 AM,CODE ENFORCEMENT,PROP,285 E RANCHO RD     ,,,,1,1
CE17-0873,6/27/2017 12:00:00 AM,7/6/2017 12:00:00 AM,CODE ENFORCEMENT,,285 E RANCHO RD ,,,,1,1
CE17-0874,6/27/2017 12:00:00 AM,11/9/2017 12:00:00 AM,CODE ENFORCEMENT,,285 E RANCHO RD,,,,1,1
CE02-0344,3/21/2002 12:00:00 AM,4/8/2002 12:00:00 AM,CODE ENFORCEMENT,USE,524 E THIRD ST,,,,1,1
CE22-0091,2/7/2022 12:00:00 AM,9/22/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,835 W NINTH ST UNIT B,CORONA,CA,92882,1,1
CE22-0295,3/23/2022 12:00:00 AM,10/27/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,835 W NINTH ST UNIT A,CORONA,CA,92882,1,1
CE22-0296,3/23/2022 12:00:00 AM,9/22/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,835 W NINTH ST   EXTERIOR,CORONA,CA,92882,1,1
CE04-0775,6/9/2004 12:00:00 AM,7/6/2004 12:00:00 AM,CODE ENFORCEMENT,DEVEL,1314 S BELLE AV     ,,,,1,1
CE11-0241,3/22/2011 12:00:00 AM,11/23/2011 12:00:00 AM,CODE ENFORCEMENT,PROP,1314 S BELLE AV     ,,,,1,1
CE22-0162,2/24/2022 12:00:00 AM,11/8/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1314 S BELLE AVE,CORONA,CA,92882,1,1
CE03-0843,8/19/2003 12:00:00 AM,12/2/2003 12:00:00 AM,CODE ENFORCEMENT,USE,1223 CARRIAGE LN,,,,1,1
CE03-0120,2/13/2003 12:00:00 AM,2/25/2003 12:00:00 AM,CODE ENFORCEMENT,USE,1223 CARRIAGE LN,,,,1,1
CE16-0168,2/8/2016 12:00:00 AM,3/9/2016 12:00:00 AM,CODE ENFORCEMENT,,700 AVENIDA TERRAZO  ,,,,1,1
CE18-0811,6/9/2018 12:00:00 AM,6/20/2018 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,2184 TURNBERRY LN,CORONA,CA,92881,1,1
CE04-0252,2/27/2004 12:00:00 AM,3/3/2004 12:00:00 AM,CODE ENFORCEMENT,PROP,1397 CRESTA RD     ,,,,1,1
CE12-1095,10/30/2012 12:00:00 AM,12/20/2012 12:00:00 AM,CODE ENFORCEMENT,,2730 PLUMWOOD LN     ,,,,1,1
CE20-0230,3/4/2020 12:00:00 AM,9/14/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,2730 PLUMWOOD LN,CORONA,CA,92882,1,1
CC23-0164,2/13/2023 12:00:00 AM,2/21/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,412 SELKIRK DR,CORONA,CA,92881,1,1
CC25-1382,9/5/2025 12:00:00 AM,,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,412 SELKIRK DR,CORONA,CA,92881,1,0
CC24-1198,8/6/2024 12:00:00 AM,4/3/2025 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,412 SELKIRK DR,CORONA,CA,92881,1,1
CE04-1265,10/5/2004 12:00:00 AM,4/27/2005 12:00:00 AM,CODE ENFORCEMENT,DEVEL,1433 PLEASANT VIEW AV     ,,,,1,1
CE10-0285,3/9/2010 12:00:00 AM,5/27/2010 12:00:00 AM,CODE ENFORCEMENT,PROP,2239 WAGON TRAIN ST     ,,,,1,1
CE14-0370,4/29/2014 12:00:00 AM,7/17/2014 12:00:00 AM,CODE ENFORCEMENT,,2239 WAGON TRAIN ST ,,,,1,1
CE22-0516,4/27/2022 12:00:00 AM,6/23/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,412 SELKIRK DR,CORONA,CA,92881,1,1
CE22-0519,4/27/2022 12:00:00 AM,5/4/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,412 SELKIRK DR,CORONA,CA,92881,1,1
CE22-1773,12/14/2022 12:00:00 AM,12/29/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,2239 WAGON TRAIN ST,CORONA,CA,92880,1,1
CE21-0072,2/1/2021 12:00:00 AM,2/24/2021 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,412 SELKIRK DR,CORONA,CA,92881,1,1
CE17-0851,6/22/2017 12:00:00 AM,9/28/2017 12:00:00 AM,CODE ENFORCEMENT,,412 SELKIRK DR,,,,1,1
CE17-0354,3/15/2017 12:00:00 AM,3/27/2017 12:00:00 AM,CODE ENFORCEMENT,,412 SELKIRK DR ,,,,1,1
CE20-1325,11/20/2020 12:00:00 AM,12/10/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1433 PLEASANT VIEW AVE,CORONA,CA,92882,1,1
CE20-0708,7/22/2020 12:00:00 AM,8/12/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,412 SELKIRK DR,CORONA,CA,92881,1,1
CE19-0754,7/1/2019 12:00:00 AM,10/1/2019 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,412 SELKIRK DR,CORONA,CA,92881,1,1
CE19-0854,7/26/2019 12:00:00 AM,8/20/2019 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,2239 WAGON TRAIN ST,CORONA,CA,92880,1,1
CC24-0980,7/16/2024 12:00:00 AM,8/6/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,216 W KENDALL ST,CORONA,CA,92882,1,1
CE04-1072,8/17/2004 12:00:00 AM,9/7/2004 12:00:00 AM,CODE ENFORCEMENT,PROP,1075 ELMHURST ST     ,,,,1,1
CE06-0996,10/12/2006 12:00:00 AM,9/12/2007 12:00:00 AM,CODE ENFORCEMENT,PROP,1075 ELMHURST ST     ,,,,1,1
CE08-0701,5/8/2008 12:00:00 AM,5/22/2008 12:00:00 AM,CODE ENFORCEMENT,SIGN,2661 LAS MERCEDES LN     ,,,,1,1
CE08-0795,5/29/2008 12:00:00 AM,,CODE ENFORCEMENT,PROP,1075 ELMHURST ST     ,,,,1,0
CE10-0390,3/30/2010 12:00:00 AM,6/15/2010 12:00:00 AM,CODE ENFORCEMENT,PROP,312 SIERRA MADRE WY     ,,,,1,1
CE21-0811,7/20/2021 12:00:00 AM,4/6/2023 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1143 BELRIDGE PL,CORONA,CA,92881,1,1
CE13-0338,4/30/2013 12:00:00 AM,8/5/2013 12:00:00 AM,CODE ENFORCEMENT,,2661 LAS MERCEDES LN     ,,,,1,1
CE14-1226,11/17/2014 12:00:00 AM,2/10/2015 12:00:00 AM,CODE ENFORCEMENT,,1075 ELMHURST ST ,,,,1,1
CE13-1274,12/18/2013 12:00:00 AM,1/13/2014 12:00:00 AM,CODE ENFORCEMENT,,2661 LAS MERCEDES LN ,,,,1,1
CE14-0835,8/5/2014 12:00:00 AM,11/5/2014 12:00:00 AM,CODE ENFORCEMENT,,2661 LAS MERCEDES LN ,,,,1,1
CE22-0026,1/11/2022 12:00:00 AM,1/23/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,216 W KENDALL ST,CORONA,CA,92882,1,1
CE19-0629,5/29/2019 12:00:00 AM,8/1/2019 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,216 W KENDALL ST,CORONA,CA,92882,1,1
CE19-0870,7/30/2019 12:00:00 AM,8/29/2019 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,955 BLOSSOM HILL DR,CORONA,CA,92880,1,1
CE21-0564,5/20/2021 12:00:00 AM,5/27/2021 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,2758 CAPE DR,CORONA,CA,92882,1,1
CE07-0968,6/1/2007 12:00:00 AM,6/16/2007 12:00:00 AM,CODE ENFORCEMENT,PROP,1024 W OLIVE ST     ,,,,1,1
CE12-1151,11/8/2012 12:00:00 AM,12/18/2012 12:00:00 AM,CODE ENFORCEMENT,,1024 W OLIVE ST     ,,,,1,1
CC23-1599,11/2/2023 12:00:00 AM,12/12/2023 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,4007 ROYAL VISTA CIR,CORONA,CA,92881,1,1
CE09-1192,9/9/2009 12:00:00 AM,12/14/2009 12:00:00 AM,CODE ENFORCEMENT,PROP,950 ASPEN ST     ,,,,1,1
CE01-0712,8/2/2001 12:00:00 AM,9/5/2001 12:00:00 AM,CODE ENFORCEMENT,USE,2301 MOUNT HUMPHRIES CI #104,,,,1,1
CE04-0922,7/14/2004 12:00:00 AM,8/6/2004 12:00:00 AM,CODE ENFORCEMENT,PROP,1006 REDWOOD CT     ,,,,1,1
CE09-1259,9/25/2009 12:00:00 AM,3/10/2010 12:00:00 AM,CODE ENFORCEMENT,BLDGCODE,1121 REDWOOD ST     ,,,,1,1
CE13-1052,9/26/2013 12:00:00 AM,10/23/2013 12:00:00 AM,CODE ENFORCEMENT,,1121 REDWOOD ST ,,,,1,1
CE12-1079,10/25/2012 12:00:00 AM,2/19/2013 12:00:00 AM,CODE ENFORCEMENT,,325 E HACIENDA DR     ,,,,1,1
CE15-0286,3/26/2015 12:00:00 AM,5/11/2016 12:00:00 AM,CODE ENFORCEMENT,,325 E HACIENDA DR ,,,,1,1
CE16-0841,7/7/2016 12:00:00 AM,3/8/2017 12:00:00 AM,CODE ENFORCEMENT,,1121 REDWOOD ST ,,,,1,1
CC24-1664,10/23/2024 12:00:00 AM,12/7/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,2951 COVENTRY ST,CORONA,CA,92879,1,1
CE04-0370,3/22/2004 12:00:00 AM,3/23/2004 12:00:00 AM,CODE ENFORCEMENT,PROP,3389 CHILTERN WY     ,,,,1,1
CE07-1599,9/21/2007 12:00:00 AM,10/16/2007 12:00:00 AM,CODE ENFORCEMENT,PROP,3389 CHILTERN WY     ,,,,1,1
CE10-0716,6/21/2010 12:00:00 AM,6/29/2010 12:00:00 AM,CODE ENFORCEMENT,PROP,1028 W CRESTVIEW ST     ,,,,1,1
CE17-0626,5/5/2017 12:00:00 AM,6/8/2017 12:00:00 AM,CODE ENFORCEMENT,,1028 W CRESTVIEW ST ,,,,1,1
CE20-0325,3/25/2020 12:00:00 AM,1/5/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,2951 COVENTRY ST,CORONA,CA,92879,1,1
CE22-1032,7/9/2022 12:00:00 AM,7/9/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,3389 CHILTERN WAY,CORONA,CA,92882,1,1
CE02-0275,3/4/2002 12:00:00 AM,3/12/2002 12:00:00 AM,CODE ENFORCEMENT,MULTI,929 W GRAND BL,,,,1,1
CE03-0635,7/1/2003 12:00:00 AM,8/26/2003 12:00:00 AM,CODE ENFORCEMENT,PROP,1485 SANDALWOOD PL,,,,1,1
CE05-0339,4/6/2005 12:00:00 AM,4/19/2005 12:00:00 AM,CODE ENFORCEMENT,PROP,929 W GRAND BL     ,,,,1,1
CE08-0824,6/2/2008 12:00:00 AM,8/7/2008 12:00:00 AM,CODE ENFORCEMENT,DEVEL,929 W GRAND BL     ,,,,1,1
CE09-0970,7/27/2009 12:00:00 AM,7/29/2009 12:00:00 AM,CODE ENFORCEMENT,VEND,929 W GRAND BL     ,,,,1,1
CE12-0985,9/26/2012 12:00:00 AM,9/26/2012 12:00:00 AM,CODE ENFORCEMENT,,929 W GRAND BL     ,,,,1,1
CE99-0380,11/5/1999 12:00:00 AM,11/5/1999 12:00:00 AM,CODE ENFORCEMENT,PROP,2855 SPRING MEADOW DR,,,,1,1
CE99-0098,7/20/1999 12:00:00 AM,8/31/1999 12:00:00 AM,CODE ENFORCEMENT,PROP,929 W GRAND BL,,,,1,1
CC23-0158,2/9/2023 12:00:00 AM,5/22/2023 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,675 EBBCREEK ST L,CORONA,CA,92880,1,1
CC24-0337,3/12/2024 12:00:00 AM,4/16/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,570 EBBCREEK ST I,CORONA,CA,92880,1,1
CC23-1683,11/22/2023 12:00:00 AM,12/4/2023 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,830 WINDSTREAM ST O,CORONA,CA,92880,1,1
CC25-0373,3/25/2025 12:00:00 AM,4/23/2025 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,625 EBBCREEK ST O,CORONA,CA,92880,1,1
CC24-0572,4/25/2024 12:00:00 AM,5/13/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,551 RAPIDSPRINGS ST A,CORONA,CA,92880,1,1
CE01-1397,12/10/2001 12:00:00 AM,12/10/2002 12:00:00 AM,CODE ENFORCEMENT,BLDGCODE,3137 NUTMEG DR,,,,1,1
CE2017-0551,12/12/2017 12:00:00 AM,12/13/2017 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,880 HOTSPRING ST J,CORONA,CA,92880,1,1
CE2017-0561,12/18/2017 12:00:00 AM,4/5/2018 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,880 HOTSPRING ST M,CORONA,CA,92880,1,1
CE2017-0582,12/20/2017 12:00:00 AM,3/30/2018 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,890 HOTSPRING ST,CORONA,CA,92880,1,1
CE2017-0296,9/22/2017 12:00:00 AM,12/27/2017 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,561 RAPIDSPRINGS ST #A,CORONA,CA,92880,1,1
CE22-1344,9/6/2022 12:00:00 AM,9/27/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,880 HOTSPRING DR M,CORONA,CA,92880,1,1
CE20-0065,1/22/2020 12:00:00 AM,1/31/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,851 HOTSPRING ST K,CORONA,CA,92880,1,1
CE21-0884,8/3/2021 12:00:00 AM,3/10/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,3137 NUTMEG DR,CORONA,CA,92882,1,1
CE21-0505,5/10/2021 12:00:00 AM,8/11/2021 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,621 RAPIDSPRING ST K,CORONA,CA,92880,1,1
CE2017-0234,9/7/2017 12:00:00 AM,9/18/2017 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,890 HOTSPRING ST,CORONA,CA,92880,1,1
CE22-1217,8/10/2022 12:00:00 AM,9/28/2023 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,890 HOTSPRING ST,CORONA,CA,92880,1,1
CE2017-0462,11/8/2017 12:00:00 AM,1/13/2018 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,890 HOTSPRING ST,CORONA,CA,92880,1,1
CE18-1141,8/13/2018 12:00:00 AM,12/18/2018 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,890 HOTSPRING ST,CORONA,CA,92880,1,1
CE18-0664,5/14/2018 12:00:00 AM,6/11/2018 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,820 WINDSTREAM ST,CORONA,CA,92880,1,1
CE2017-0191,8/28/2017 12:00:00 AM,9/11/2017 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,650 EBBCREEK ST APT. A,CORONA,CA,92880,1,1
CE19-0262,3/13/2019 12:00:00 AM,3/13/2019 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,570 EBBCREEK ST A,CORONA,CA,92880,1,1
