CASE_NO,STARTED,CLOSED,CaseType,CaseSubType,SITE_ADDR,SITE_CITY,SITE_STATE,SITE_ZIP,Case_Count,Case_Completion
CE04-0930,7/19/2004 12:00:00 AM,8/23/2004 12:00:00 AM,CODE ENFORCEMENT,USE,1241 OAKCREST CI     ,,,,1,1
CE07-0907,5/25/2007 12:00:00 AM,6/9/2007 12:00:00 AM,CODE ENFORCEMENT,SIGN,1640 E MAGNOLIA AV,,,,1,1
CE09-1387,10/22/2009 12:00:00 AM,1/27/2010 12:00:00 AM,CODE ENFORCEMENT,USE,1640 E SIXTH ST,CORONA,CA,92879,1,1
CE10-0754,6/29/2010 12:00:00 AM,1/4/2011 12:00:00 AM,CODE ENFORCEMENT,USE,1640 E SIXTH ST,CORONA,CA,92879,1,1
CE15-0010,1/12/2015 12:00:00 AM,1/20/2015 12:00:00 AM,CODE ENFORCEMENT,,1640 E SIXTH ST ,,,,1,1
CE17-0035,12/30/2016 12:00:00 AM,1/26/2017 12:00:00 AM,CODE ENFORCEMENT,,1640 E SIXTH ST ,,,,1,1
CE18-0211,2/24/2018 12:00:00 AM,2/24/2018 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1640 E SIXTH ST,CORONA,CA,92879,1,1
CE20-0032,1/9/2020 12:00:00 AM,2/13/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1640 E SIXTH ST,CORONA,CA,92879,1,1
CE99-1071,7/31/2000 12:00:00 AM,8/14/2000 12:00:00 AM,CODE ENFORCEMENT,USE,1640 E 6TH ST,,,,1,1
CE01-1161,10/22/2001 12:00:00 AM,11/14/2001 12:00:00 AM,CODE ENFORCEMENT,PROP,3247 BRAEMAR LN,,,,1,1
CE03-0081,1/30/2003 12:00:00 AM,2/18/2003 12:00:00 AM,CODE ENFORCEMENT,PROP,3247 BRAEMAR LN,,,,1,1
CE09-0124,2/3/2009 12:00:00 AM,5/11/2009 12:00:00 AM,CODE ENFORCEMENT,PROP,3247 BRAEMAR LN     ,,,,1,1
CE12-0126,2/13/2012 12:00:00 AM,4/18/2012 12:00:00 AM,CODE ENFORCEMENT,,3247 BRAEMAR LN     ,,,,1,1
CE12-0406,4/24/2012 12:00:00 AM,7/17/2012 12:00:00 AM,CODE ENFORCEMENT,,3247 BRAEMAR LN     ,,,,1,1
CE19-1101,9/17/2019 12:00:00 AM,9/2/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,3247 BRAEMAR LN,CORONA,CA,92882,1,1
CE08-1542,11/6/2008 12:00:00 AM,7/16/2009 12:00:00 AM,CODE ENFORCEMENT,MULTI,3450 SUMMITPOINTE CI     ,,,,1,1
CE14-0926,8/18/2014 12:00:00 AM,1/6/2015 12:00:00 AM,CODE ENFORCEMENT,,506 S SHERIDAN ST ,,,,1,1
CE18-1273,9/10/2018 12:00:00 AM,10/5/2018 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,330 S MAPLE ST,CORONA,CA,92880,1,1
CE18-1327,9/20/2018 12:00:00 AM,5/29/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,882 AUBURNDALE ST,CORONA,CA,92880,1,1
CE21-1412,12/15/2021 12:00:00 AM,3/8/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,350 S MAPLE ST,CORONA,CA,92880,1,1
CE99-0505,1/21/2000 12:00:00 AM,1/21/2000 12:00:00 AM,CODE ENFORCEMENT,BLDGCODE,350 S MAPLE ST K,,,,1,1
CE14-0405,5/1/2014 12:00:00 AM,9/9/2014 12:00:00 AM,CODE ENFORCEMENT,,2094 SANTA BARBARA ST ,,,,1,1
CE22-0902,6/23/2022 12:00:00 AM,3/24/2023 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,2094 SANTA BARBARA ST,CORONA,CA,92882,1,1
CE20-0975,9/4/2020 12:00:00 AM,9/30/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,863 COTTONWOOD ST,CORONA,CA,92879,1,1
CE01-0077,2/6/2001 12:00:00 AM,3/30/2001 12:00:00 AM,CODE ENFORCEMENT,PROP,159 N BUENA VISTA AV,,,,1,1
CC24-0946,7/9/2024 12:00:00 AM,12/30/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1231 W TENTH ST,CORONA,CA,92882,1,1
CE08-1156,8/13/2008 12:00:00 AM,11/9/2008 12:00:00 AM,CODE ENFORCEMENT,PROP,159 N BUENA VISTA AV     ,,,,1,1
CE07-1925,11/28/2007 12:00:00 AM,1/9/2008 12:00:00 AM,CODE ENFORCEMENT,PROP,159 N BUENA VISTA AV     ,,,,1,1
CE08-0707,5/7/2008 12:00:00 AM,5/14/2008 12:00:00 AM,CODE ENFORCEMENT,PROP,159 N BUENA VISTA AV     ,,,,1,1
CE09-0487,4/28/2009 12:00:00 AM,10/8/2009 12:00:00 AM,CODE ENFORCEMENT,PROP,159 N BUENA VISTA AV     ,,,,1,1
CE19-0368,4/9/2019 12:00:00 AM,5/29/2019 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,159 N BUENA VISTA AV,CORONA,CA,92882,1,1
CE20-1280,11/10/2020 12:00:00 AM,12/14/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,159 N BUENA VISTA AVE,CORONA,CA,92882,1,1
